rank,tier,name,section,views_3mo,wikipedia_title,flag
1514,C,Ted Turner,TECH & BUSINESS,217660,Ted Turner,
1515,C,Jennie from Blackpink,MODERN POP,315998,Jennie (singer),
1516,C,Troy Aikman,AMERICAN FOOTBALL,107896,Troy Aikman,
1517,C,Anne Bonny,"EXPLORERS, PIRATES, WILD WEST & OUTLAWS",133421,Anne Bonny,
1518,C,Silvio Berlusconi,WORLD LEADERS (HISTORICAL),137095,Silvio Berlusconi,tax-fraud conviction; kept as caricature
1519,C,Bobby Orr,BASEBALL & HOCKEY,55073,Bobby Orr,
1520,C,George Best,SOCCER,316141,George Best,
1521,C,Jack Nicklaus,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",180590,Jack Nicklaus,
1522,C,James Baldwin,WRITERS & PHILOSOPHERS,226231,James Baldwin,
1523,C,Angela Lansbury,CLASSIC HOLLYWOOD,417101,Angela Lansbury,
1524,C,Phil Hartman,COMEDIANS,273267,Phil Hartman,
1525,C,Colin Powell,US PRESIDENTS & POLITICIANS,188824,Colin Powell,
1526,C,Joel Embiid,BASKETBALL,188860,Joel Embiid,
1527,C,Louis Pasteur,"SCIENTISTS, INVENTORS & THINKERS",114496,Louis Pasteur,
1528,C,Ai Weiwei,"ARTISTS, ARCHITECTS & PHOTOGRAPHERS",53474,Ai Weiwei,
1529,C,Robbie Williams,ROCK & POP LEGENDS,426283,Robbie Williams,
1530,C,Sejong the Great,"MEDIEVAL, RENAISSANCE & EARLY MODERN RULERS AND WARRIORS",53965,Sejong the Great,
1531,C,Peter Jackson,FILM DIRECTORS,264228,Peter Jackson,
1532,C,Yves Saint Laurent,FASHION & MODELS,1064,Yves Saint Laurent,
1533,C,Lang Lang,"COMPOSERS, CLASSICAL & STAGE",54023,Lang Lang,
1534,C,Tom Hanks,MODERN ACTORS,966739,Tom Hanks,
1535,C,Andrew Carnegie,TECH & BUSINESS,164948,Andrew Carnegie,
1536,C,Selena,MODERN POP,314862,Selena,
1537,C,John Elway,AMERICAN FOOTBALL,94655,John Elway,
1538,C,Tenzing Norgay,"EXPLORERS, PIRATES, WILD WEST & OUTLAWS",127196,Tenzing Norgay,
1539,C,Desmond Tutu,WORLD LEADERS (HISTORICAL),101833,Desmond Tutu,
1540,C,Arsène Wenger,SOCCER,302200,Arsène Wenger,
1541,C,Kimi Räikkönen,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",157022,Kimi Räikkönen,
1542,C,Lord Byron,WRITERS & PHILOSOPHERS,225125,Lord Byron,
1543,C,James Stewart,CLASSIC HOLLYWOOD,409082,James Stewart,
1544,C,Bill Hader,COMEDIANS,269194,Bill Hader,
1545,C,Condoleezza Rice,US PRESIDENTS & POLITICIANS,177848,Condoleezza Rice,
1546,C,Draymond Green,BASKETBALL,186722,Draymond Green,
1547,C,George Washington Carver,"SCIENTISTS, INVENTORS & THINKERS",112391,George Washington Carver,
1548,C,Roy Lichtenstein,"ARTISTS, ARCHITECTS & PHOTOGRAPHERS",49693,Roy Lichtenstein,
1549,C,Brian Wilson,ROCK & POP LEGENDS,394845,Brian Wilson,
1550,C,Yi Sun-sin,"MEDIEVAL, RENAISSANCE & EARLY MODERN RULERS AND WARRIORS",53231,Yi Sun-sin,
1551,C,John Carpenter,FILM DIRECTORS,255135,John Carpenter,
1552,C,Nicole Kidman,MODERN ACTORS,963331,Nicole Kidman,
1553,C,Satya Nadella,TECH & BUSINESS,163902,Satya Nadella,
1554,C,Enrique Iglesias,MODERN POP,309229,Enrique Iglesias,
1555,C,Terrell Owens,AMERICAN FOOTBALL,91058,Terrell Owens,
1556,C,Walter Raleigh,"EXPLORERS, PIRATES, WILD WEST & OUTLAWS",104956,Walter Raleigh,
1557,C,Kofi Annan,WORLD LEADERS (HISTORICAL),95692,Kofi Annan,
