rank,name,section,views_3mo,wikipedia_title,flag
897,Mario Lemieux,BASEBALL & HOCKEY,86156,Mario Lemieux,
898,Georges St-Pierre,"BOXING, MMA, WRESTLING & STRENGTH",252421,Georges St-Pierre,
899,Joey Chestnut,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",317595,Joey Chestnut,
900,Stephen Wolfram,AI & MACHINE LEARNING,69051,Stephen Wolfram,
901,Anansi,FICTIONAL & FOLKLORE (public domain only) / Myth,57052,Anansi,
902,Captain Hook,FICTIONAL & FOLKLORE (public domain only) / Literature,57456,Captain Hook,
903,Spartacus,ANCIENT & CLASSICAL,173413,Spartacus,
904,The Duke of Wellington,"MEDIEVAL, RENAISSANCE & EARLY MODERN RULERS AND WARRIORS",245693,"Arthur Wellesley, 1st Duke of Wellington",
905,Anne Bonny,"EXPLORERS, PIRATES, WILD WEST & OUTLAWS",133421,Anne Bonny,
906,Andrew Jackson,US PRESIDENTS & POLITICIANS,406012,Andrew Jackson,
907,Mustafa Kemal Atatürk,WORLD LEADERS (HISTORICAL),245363,Mustafa Kemal Atatürk,
908,Alexander Graham Bell,"SCIENTISTS, INVENTORS & THINKERS",181258,Alexander Graham Bell,
909,Henry Ford,TECH & BUSINESS,231791,Henry Ford,
910,Johannes Vermeer,"ARTISTS, ARCHITECTS & PHOTOGRAPHERS",94385,Johannes Vermeer,
911,Albert Camus,WRITERS & PHILOSOPHERS,259825,Albert Camus,
912,Igor Stravinsky,"COMPOSERS, CLASSICAL & STAGE",75836,Igor Stravinsky,
913,Alfred Hitchcock,FILM DIRECTORS,347818,Alfred Hitchcock,
914,Carrie Fisher,CLASSIC HOLLYWOOD,544559,Carrie Fisher,
915,Sandra Bullock,MODERN ACTORS,1041554,Sandra Bullock,
916,Jerry Seinfeld,COMEDIANS,389980,Jerry Seinfeld,
917,Howard Stern,"TV HOSTS, CHEFS, MAGICIANS & PERSONALITIES",210406,Howard Stern,
918,Tommy Hilfiger,FASHION & MODELS,81274,Tommy Hilfiger,
919,Elton John,ROCK & POP LEGENDS,586610,Elton John,
920,Ed Sheeran,MODERN POP,432268,Ed Sheeran,
921,LL Cool J,HIP-HOP & R&B,234750,LL Cool J,
922,Deadmau5,"COUNTRY, EDM & OTHER",91773,Deadmau5,
923,Allen Iverson,BASKETBALL,277254,Allen Iverson,
924,Joe Namath,AMERICAN FOOTBALL,116458,Joe Namath,
925,Gary Lineker,SOCCER,486975,Gary Lineker,
926,Jaromir Jagr,BASEBALL & HOCKEY,72080,Jaromír Jágr,
927,Manny Pacquiao,"BOXING, MMA, WRESTLING & STRENGTH",246430,Manny Pacquiao,
928,Lance Armstrong,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",292860,Lance Armstrong,
929,Fei-Fei Li,AI & MACHINE LEARNING,67443,Fei-Fei Li,
930,Nezha,FICTIONAL & FOLKLORE (public domain only) / Myth,56436,Nezha,
931,Miss Marple,FICTIONAL & FOLKLORE (public domain only) / Literature,57233,Miss Marple,
932,Ashoka,ANCIENT & CLASSICAL,154484,Ashoka,
933,Emperor Puyi,"MEDIEVAL, RENAISSANCE & EARLY MODERN RULERS AND WARRIORS",244665,Puyi,
934,Pancho Villa,"EXPLORERS, PIRATES, WILD WEST & OUTLAWS",133171,Pancho Villa,
935,Kamala Harris,US PRESIDENTS & POLITICIANS,389283,Kamala Harris,
936,Nicolae Ceaușescu,WORLD LEADERS (HISTORICAL),239327,Nicolae Ceaușescu,
937,Werner Heisenberg,"SCIENTISTS, INVENTORS & THINKERS",178356,Werner Heisenberg,
938,J. P. Morgan,TECH & BUSINESS,230100,J. P. Morgan,
939,Wassily Kandinsky,"ARTISTS, ARCHITECTS & PHOTOGRAPHERS",74970,Wassily Kandinsky,
940,Mary Shelley,WRITERS & PHILOSOPHERS,249165,Mary Shelley,
941,Rudolf Nureyev,"COMPOSERS, CLASSICAL & STAGE",71835,Rudolf Nureyev,
942,Wes Anderson,FILM DIRECTORS,341975,Wes Anderson,
943,Paul Newman,CLASSIC HOLLYWOOD,531655,Paul Newman,
944,Penélope Cruz,MODERN ACTORS,1033939,Penélope Cruz,
945,Hugh Laurie,COMEDIANS,386019,Hugh Laurie,
946,John Oliver,"TV HOSTS, CHEFS, MAGICIANS & PERSONALITIES",198792,John Oliver,
947,Giorgio Armani,FASHION & MODELS,65806,Giorgio Armani,
948,Robert Smith,ROCK & POP LEGENDS,584268,Robert Smith (musician),
949,Adele,MODERN POP,430287,Adele,
950,Nas,HIP-HOP & R&B,219947,Nas,
951,Marshmello,"COUNTRY, EDM & OTHER",89047,Marshmello,
952,Dwyane Wade,BASKETBALL,277120,Dwyane Wade,
953,Joe Montana,AMERICAN FOOTBALL,116024,Joe Montana,
954,Didier Drogba,SOCCER,451628,Didier Drogba,
955,Bobby Orr,BASEBALL & HOCKEY,55073,Bobby Orr,
956,Israel Adesanya,"BOXING, MMA, WRESTLING & STRENGTH",224125,Israel Adesanya,
957,Pete Sampras,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",270177,Pete Sampras,
958,Ray Kurzweil,AI & MACHINE LEARNING,67298,Ray Kurzweil,
959,Grendel,FICTIONAL & FOLKLORE (public domain only) / Myth,48984,Grendel,
960,Count Orlok,FICTIONAL & FOLKLORE (public domain only) / Literature,56915,Count Orlok,
961,Leonidas,ANCIENT & CLASSICAL,146284,Leonidas I,
962,Haile Selassie,"MEDIEVAL, RENAISSANCE & EARLY MODERN RULERS AND WARRIORS",241173,Haile Selassie,
963,Tenzing Norgay,"EXPLORERS, PIRATES, WILD WEST & OUTLAWS",127196,Tenzing Norgay,
964,George Patton,US PRESIDENTS & POLITICIANS,372731,George S. Patton,
965,Ho Chi Minh,WORLD LEADERS (HISTORICAL),229508,Ho Chi Minh,
966,Katherine Johnson,"SCIENTISTS, INVENTORS & THINKERS",174820,Katherine Johnson,
967,Richard Branson,TECH & BUSINESS,224890,Richard Branson,
968,Marc Chagall,"ARTISTS, ARCHITECTS & PHOTOGRAPHERS",73462,Marc Chagall,
969,Niccolò Machiavelli,WRITERS & PHILOSOPHERS,248394,Niccolò Machiavelli,
970,George Frideric Handel,"COMPOSERS, CLASSICAL & STAGE",71326,George Frideric Handel,
971,Sofia Coppola,FILM DIRECTORS,306259,Sofia Coppola,
972,John Wayne,CLASSIC HOLLYWOOD,518617,John Wayne,
973,Zoe Saldaña,MODERN ACTORS,1028042,Zoe Saldaña,
974,Richard Pryor,COMEDIANS,376508,Richard Pryor,
975,Julia Child,"TV HOSTS, CHEFS, MAGICIANS & PERSONALITIES",196314,Julia Child,
976,Yves Saint Laurent,FASHION & MODELS,1064,Yves Saint Laurent,
977,Diana Ross,ROCK & POP LEGENDS,577707,Diana Ross,
978,Justin Timberlake,MODERN POP,410140,Justin Timberlake,
979,Wiz Khalifa,HIP-HOP & R&B,208136,Wiz Khalifa,
980,Tiësto,"COUNTRY, EDM & OTHER",72737,Tiësto,
981,Phil Jackson,BASKETBALL,268598,Phil Jackson,
982,Michael Strahan,AMERICAN FOOTBALL,115754,Michael Strahan,
983,Roberto Carlos,SOCCER,421891,Roberto Carlos,
984,Rey Mysterio,"BOXING, MMA, WRESTLING & STRENGTH",218895,Rey Mysterio,
985,Jim Thorpe,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",257790,Jim Thorpe,
